time,corridor,hs6,desc,value_usd
2023-01,CN->BR,300590,,679964.0
2023-01,CN->BR,300610,,443846
2023-01,CN->BR,300630,,1660974.0
2023-01,CN->BR,300640,,1279463
2023-01,CN->BR,300650,,52
2023-01,CN->BR,300691,,149660.0
2023-01,CN->BR,310100,,61349
2023-01,CN->BR,310210,,1530373
2023-01,CN->BR,310221,,82981544
2023-01,CN->BR,310290,,91653
2023-01,CN->BR,310311,,420280
2023-01,CN->BR,310490,,32688
2023-01,CN->BR,310510,,45179
2023-01,CN->BR,310540,,15197323
2023-01,CN->BR,310559,,4631542
2023-01,CN->BR,310560,,121684
2023-01,CN->BR,310590,,166037
2023-01,CN->BR,320190,,85
2023-01,CN->BR,320210,,60810
2023-01,CN->BR,320290,,11604
2023-01,CN->BR,320300,,221410.0
2023-01,CN->BR,320411,,1912722
2023-01,CN->BR,320412,,564533
2023-01,CN->BR,320413,,247887
2023-01,CN->BR,320414,,69021
2023-01,CN->BR,320415,,2187646.0
2023-01,CN->BR,320416,,121831
2023-01,CN->BR,320417,,4649609
2023-01,CN->BR,320418,,107367.0
2023-01,CN->BR,320419,,842241.0
2023-01,CN->BR,320420,,286796.0
2023-01,CN->BR,320490,,91967
2023-01,CN->BR,320611,,14856828.0
2023-01,CN->BR,320619,,251609.0
2023-01,CN->BR,320620,,43230
2023-01,CN->BR,320641,,15390
2023-01,CN->BR,320642,,4558
2023-01,CN->BR,320649,,51383.0
2023-01,CN->BR,320650,,163195.0
2023-01,CN->BR,320710,,43803
2023-01,CN->BR,320740,,215
2023-01,CN->BR,320810,,11638
2023-01,CN->BR,320820,,2055491.0
2023-01,CN->BR,320890,,94351.0
2023-01,CN->BR,320910,,5648.0
2023-01,CN->BR,320990,,84
2023-01,CN->BR,321100,,1813
2023-01,CN->BR,321210,,800382
2023-01,CN->BR,321290,,55820.0
2023-01,CN->BR,321310,,146282
2023-01,CN->BR,321390,,81
2023-01,CN->BR,321410,,1548153
2023-01,CN->BR,321490,,91357
2023-01,CN->BR,321511,,334656
2023-01,CN->BR,321519,,743837
2023-01,CN->BR,321590,,115450
2023-01,CN->BR,330119,,32
2023-01,CN->BR,330124,,11
2023-01,CN->BR,330125,,77326.0
2023-01,CN->BR,330129,,273922.0
2023-01,CN->BR,330130,,1081
2023-01,CN->BR,330210,,53631
2023-01,CN->BR,330290,,234552.0
2023-01,CN->BR,330300,,107466.0
2023-01,CN->BR,330410,,181804
2023-01,CN->BR,330420,,553891.0
2023-01,CN->BR,330430,,1436710
2023-01,CN->BR,330491,,177041
2023-01,CN->BR,330499,,172337.0
2023-01,CN->BR,330590,,52344
2023-01,CN->BR,330620,,443142
2023-01,CN->BR,330741,,3075
2023-01,CN->BR,330749,,6016
2023-01,CN->BR,340111,,126708
2023-01,CN->BR,340119,,29467
2023-01,CN->BR,340120,,270
2023-01,CN->BR,340130,,12578
