corridor,hs6,desc,recent_avg_usd,baseline_avg_usd,growth_pct,z_score,recent_months,score
BR->US,843352,"THRESHING MACH, EXC COMBINE HARVESTER-THRESHERS",129999,12830,913.3,2.88,"2026-04,2026-05,2026-06",14.711354636047698
BR->US,490199,"PRINTED BOOKS, BROCHURES, ETC., NESOI",2086926,754439,176.6,2.27,"2026-04,2026-05,2026-06",14.342959222139521
BR->US,030247,"SWORDFISH, FRESH OR CHILLED",656963,308024,113.3,2.31,"2026-04,2026-05,2026-06",13.43464026861757
BR->US,391190,"POLYSULFIDES, POLYSULFONES & OTHER NESOI, PRIM FRM",107100,30855,247.1,2.62,"2026-04,2026-05,2026-06",13.180401018295882
BR->US,283329,"SULFATES, NESOI",320599,68529,367.8,2.36,"2026-04,2026-05,2026-06",12.978567390325045
BR->US,902610,"INST & APPRTS, MEASURE/CHECKING FLOW/LEVEL OF LIQ",389850,232915,67.4,2.31,"2026-04,2026-05,2026-06",12.892962952632864
BR->US,441231,"PLYWOOD EXC BAMBOO, EA PLY LT=6MM THK, TROPIC WOOD",1002167,493639,103.0,2.14,"2026-04,2026-05,2026-06",12.829984587226772
BR->US,410791,"LTR,NESOI,INC SIDES FULL GRAIN,UNSPLIT,BOV/EQU",216407,69150,213.0,2.38,"2026-04,2026-05,2026-06",12.681377103886081
BR->US,390729,"POLYETHERS, NESOI",101474,22013,361.0,2.52,"2026-04,2026-05,2026-06",12.611441888046867
BR->US,850423,LIQ DIELECT TRANSFRM POWER HAND CAP > 10T KVA,62906139,35716249,76.1,1.6,"2026-04,2026-05,2026-06",12.510174703859086
BR->US,847990,PTS OF MACH/MECHNCL APPL W INDVDUL FUNCTION NESOI,377032,181237,108.0,2.24,"2026-04,2026-05,2026-06",12.50201904377701
BR->US,330499,"BEAUTY & SKIN CARE PREPARATION, NESOI",322245,172100,87.2,2.26,"2026-04,2026-05,2026-06",12.432435426917525
BR->US,960910,"PENCILS AND CRAYONS, W/ LEADS ENCASED IN A SHEATH",8676238,4823480,79.9,1.79,"2026-04,2026-05,2026-06",12.43239686576305
BR->US,841090,"PARTS, INC REGULATORS, FOR HYDRAULIC TURB & WTR WH",732801,269784,171.6,2.08,"2026-04,2026-05,2026-06",12.227786982707821
BR->US,843991,PARTS OF MACH F MAKE PULP OF FIBR CELLULOSIC MATL,122062,29603,312.3,2.4,"2026-04,2026-05,2026-06",12.221547722214225
BR->US,400821,"PLATES OF VULCANIZED RUB, OF NONCELLULAR RUBBER",111820,33860,230.2,2.41,"2026-04,2026-05,2026-06",12.163433067664572
